time_index,maturity_i,maturity_j,covariance
1,5 Yr,5 Yr,0.029130368186393293
1,5 Yr,7 Yr,0.02738290736622027
1,5 Yr,10 Yr,0.024510958974770288
1,5 Yr,20 Yr,0.020503425331087524
1,5 Yr,30 Yr,0.018557899659957664
1,7 Yr,1 Mo,-0.00024390670955801538
1,7 Yr,2 Mo,0.0025953906078746715
1,7 Yr,3 Mo,0.0025336648753598455
1,7 Yr,4 Mo,0.003923841540452205
1,7 Yr,6 Mo,0.007255096552462201
1,7 Yr,1 Yr,0.013780136362185787
1,7 Yr,2 Yr,0.02422639013017475
1,7 Yr,3 Yr,0.027069654780030056
1,7 Yr,5 Yr,0.027382907366220274
1,7 Yr,7 Yr,0.026358889784150692
1,7 Yr,10 Yr,0.02414919906256737
1,7 Yr,20 Yr,0.020904490678395907
1,7 Yr,30 Yr,0.01929828419526395
1,10 Yr,1 Mo,0.0008980195235957912
1,10 Yr,2 Mo,0.0020489127126970476
1,10 Yr,3 Mo,0.002267818103753358
1,10 Yr,4 Mo,0.003225406243437347
1,10 Yr,6 Mo,0.005917648134632513
1,10 Yr,1 Yr,0.01127491983854486
1,10 Yr,2 Yr,0.02022629861542727
1,10 Yr,3 Yr,0.023388357749280088
1,10 Yr,5 Yr,0.02451095897477029
1,10 Yr,7 Yr,0.02414919906256737
1,10 Yr,10 Yr,0.02288269326128067
1,10 Yr,20 Yr,0.02068781517735946
1,10 Yr,30 Yr,0.019592451418037983
1,20 Yr,1 Mo,0.001420344549030322
1,20 Yr,2 Mo,0.0008141887058064516
1,20 Yr,3 Mo,0.0017439959444465955
1,20 Yr,4 Mo,0.0020528954298170803
1,20 Yr,6 Mo,0.004029080466207688
1,20 Yr,1 Yr,0.0076750769893807755
1,20 Yr,2 Yr,0.014818141039448951
1,20 Yr,3 Yr,0.018411449012325075
1,20 Yr,5 Yr,0.020503425331087528
1,20 Yr,7 Yr,0.020904490678395907
1,20 Yr,10 Yr,0.02068781517735946
1,20 Yr,20 Yr,0.020174743026971514
1,20 Yr,30 Yr,0.0195852821014569
1,30 Yr,1 Mo,0.002202440724941143
1,30 Yr,2 Mo,0.0008291149348146984
1,30 Yr,3 Mo,0.0017897604583959207
1,30 Yr,4 Mo,0.0017752595761783996
1,30 Yr,6 Mo,0.0032289353230988502
1,30 Yr,1 Yr,0.006232181078835525
1,30 Yr,2 Yr,0.01236021286477484
1,30 Yr,3 Yr,0.016065514811687574
1,30 Yr,5 Yr,0.018557899659957664
1,30 Yr,7 Yr,0.01929828419526395
1,30 Yr,10 Yr,0.019592451418037983
1,30 Yr,20 Yr,0.0195852821014569
1,30 Yr,30 Yr,0.01953409656453431
2,1 Mo,1 Mo,0.07093135277910219
2,1 Mo,2 Mo,0.012006712359208372
2,1 Mo,3 Mo,0.00928938476577054
2,1 Mo,4 Mo,0.008615254496036078
2,1 Mo,6 Mo,0.009255747101619206
2,1 Mo,1 Yr,0.007385399689460369
2,1 Mo,2 Yr,0.0034159741702826127
2,1 Mo,3 Yr,4.8723403686780395e-05
2,1 Mo,5 Yr,-0.0008159802137353197
2,1 Mo,7 Yr,-0.00025434043058827416
2,1 Mo,10 Yr,0.0008904455724551853
2,1 Mo,20 Yr,0.0014186787695752898
2,1 Mo,30 Yr,0.002201813444228579
2,2 Mo,1 Mo,0.012006712359208372
2,2 Mo,2 Mo,0.014103943251451385
2,2 Mo,3 Mo,0.009039663474797446
2,2 Mo,4 Mo,0.007822619916711595
2,2 Mo,6 Mo,0.006976220095098762
2,2 Mo,1 Yr,0.00819770311153077
2,2 Mo,2 Yr,0.006931952609180871
2,2 Mo,3 Yr,0.0045612564831309715
2,2 Mo,5 Yr,0.003216408836689501
2,2 Mo,7 Yr,0.002582363497256116
2,2 Mo,10 Yr,0.0020407311747427438
2,2 Mo,20 Yr,0.0008158681127433736
2,2 Mo,30 Yr,0.0008326376599133195
2,3 Mo,1 Mo,0.009289384765770542
2,3 Mo,2 Mo,0.009039663474797446
2,3 Mo,3 Mo,0.008294066643604983
2,3 Mo,4 Mo,0.006322157641327059
2,3 Mo,6 Mo,0.006216324820597481
2,3 Mo,1 Yr,0.00644313891950314
2,3 Mo,2 Yr,0.005489377836874848
2,3 Mo,3 Yr,0.003703880410830421
2,3 Mo,5 Yr,0.00295535750215613
2,3 Mo,7 Yr,0.0025301634393984592
2,3 Mo,10 Yr,0.0022642555929325812
2,3 Mo,20 Yr,0.0017404272022509574
2,3 Mo,30 Yr,0.0017861025303539417
2,4 Mo,1 Mo,0.008615254496036078
2,4 Mo,2 Mo,0.007822619916711597
2,4 Mo,3 Mo,0.006322157641327059
2,4 Mo,4 Mo,0.006720342875194267
2,4 Mo,6 Mo,0.006424635220943887
2,4 Mo,1 Yr,0.007262936284773729
2,4 Mo,2 Yr,0.006936137062219195
2,4 Mo,3 Yr,0.005510669717929465
2,4 Mo,5 Yr,0.004471251879369799
2,4 Mo,7 Yr,0.003917721246690283
2,4 Mo,10 Yr,0.0032212087130342507
2,4 Mo,20 Yr,0.0020526414336454013
2,4 Mo,30 Yr,0.0017757199129850819
2,6 Mo,1 Mo,0.009255747101619206
2,6 Mo,2 Mo,0.006976220095098762
2,6 Mo,3 Mo,0.006216324820597481
2,6 Mo,4 Mo,0.006424635220943887
2,6 Mo,6 Mo,0.008368743848276905
2,6 Mo,1 Yr,0.010049516502942493
2,6 Mo,2 Yr,0.01141972321430937
2,6 Mo,3 Yr,0.009795906803572962
2,6 Mo,5 Yr,0.008282000333302173
2,6 Mo,7 Yr,0.007255320976816179
2,6 Mo,10 Yr,0.005922949319277146
2,6 Mo,20 Yr,0.00404426626416466
2,6 Mo,30 Yr,0.0032463019907229785
2,1 Yr,1 Mo,0.007385399689460371
2,1 Yr,2 Mo,0.008197703111530771
2,1 Yr,3 Mo,0.00644313891950314
2,1 Yr,4 Mo,0.007262936284773729
2,1 Yr,6 Mo,0.010049516502942491
2,1 Yr,1 Yr,0.016865512875160835
2,1 Yr,2 Yr,0.020512849667139826
2,1 Yr,3 Yr,0.01835010349129359
2,1 Yr,5 Yr,0.01581736092095454
2,1 Yr,7 Yr,0.013768057023977596
