date,mean_offdiag_correlation
1991-06-14,0.26825339643362744
1991-06-17,0.26770170990325476
1991-06-18,0.2684782453042596
1991-06-19,0.2688109975371521
1991-06-20,0.2700698381139321
1991-06-21,0.27053576458946327
1991-06-24,0.2699769454282616
1991-06-25,0.2701462077179636
1991-06-26,0.2688335248259419
1991-06-27,0.26735430606169575
1991-06-28,0.26988393176392883
1991-07-01,0.26965426666822195
1991-07-02,0.2658659663981913
1991-07-03,0.2644178509130661
1991-07-05,0.26293244757480255
1991-07-08,0.2627856912879086
1991-07-09,0.2695349117630671
1991-07-10,0.26891644016534333
1991-07-11,0.26886670410609265
1991-07-12,0.2604241827213307
1991-07-15,0.25859871149238073
1991-07-16,0.2611975798300197
1991-07-17,0.26542874485393625
1991-07-18,0.2661328633543719
1991-07-19,0.26643937480841723
