date,var_1 Yr,var_10 Yr,var_2 Yr,var_3 Mo,var_5 Yr,var_6 Mo
1990-12-07,0.000570006159915,0.0006231705794162,0.0004188841536802,0.0004244101710461,0.0002788560814769,0.000496956474599
1990-12-10,0.0005613448421126,0.0006251533348284,0.0004077511818873,0.0004225775433238,0.0002778734525847,0.0004968502419307
1990-12-11,0.0005627059658388,0.0006264623433495,0.0004067623111636,0.0004228822543736,0.0002794052637281,0.000497128730523
1990-12-12,0.0005626598869924,0.0006230776125654,0.0004052269534922,0.0004260054945075,0.0002777510659783,0.0004984610961894
1990-12-13,0.0005609825226897,0.0006229247641888,0.0004037972392571,0.000425887870743,0.0002774680445182,0.0004985293025952
1990-12-14,0.0005608988078821,0.0006233725298139,0.0004039174877936,0.0004253492553336,0.0002776808961864,0.0004986640552672
1990-12-17,0.0005592643684771,0.0006213941211101,0.0004031818411585,0.0004251555034396,0.0002765878963412,0.0004989482782609
1990-12-18,0.0005601572111363,0.0006212189429985,0.0004027788532182,0.0004249120704554,0.0002755339544256,0.000498549969723
1990-12-19,0.0005608764186371,0.0006188867659958,0.0004022982433997,0.0004244706040494,0.0002751041504137,0.0004969865621969
1990-12-20,0.000561458470468,0.0006200698603423,0.0004016549786323,0.0004245703050509,0.0002752633429548,0.0004969808740498
1990-12-21,0.0005591780420316,0.0006205376831476,0.0004056506716238,0.0004238923389679,0.0002754044662941,0.0004952043230497
1990-12-24,0.0005577523819653,0.0006211905306583,0.0004062346400589,0.0004235733915261,0.0002751125296515,0.0004952450223619
1990-12-26,0.0005590247477918,0.0006209623688201,0.00041011383034,0.0004237293933698,0.0002737675183062,0.0004952193509863
1990-12-27,0.0005576221671347,0.0006215242482676,0.0004091466689674,0.0004234234157659,0.0002766510081503,0.0004959407244447
1990-12-28,0.0005575642373231,0.0006215019806895,0.0004076577353143,0.0004217880772327,0.0002780648946442,0.0004963781577371
1990-12-31,0.0005564894084336,0.0006157811882359,0.0004082508708485,0.0004206099173221,0.0002779257396887,0.0004964012085643
1991-01-02,0.0005566213443931,0.0006121742738955,0.0004083883907502,0.0004198599254985,0.00027649864679,0.0004954389155601
1991-01-03,0.0005573904478887,0.0006120436986673,0.0004073734848829,0.0004216190300585,0.0002776735488144,0.0004951524116626
1991-01-04,0.0005572963340223,0.0006128912407009,0.0004072837447719,0.0004209165591459,0.0002812513437259,0.0004954205601379
